phase,step,sim_time_s,commanded_hand_xyz_m,commanded_orientation_wxyz,gripper_closed,measured_hand_xyz_m,measured_orientation_wxyz,measured_joint_positions
right_foot:retreat,2996,49.95,"[0.280089704990387, 0.14682636559009551, 1.18]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.2799645662307739, 0.14694519340991974, 1.1760804653167725]]","[[-0.0010236044181510806, 0.7070932984352112, 0.7071154117584229, -0.0024000518023967743]]","[[0.6354122161865234, 0.7555091381072998, -0.6583282351493835, -1.2397626638412476, 0.44960466027259827, 1.8459491729736328, -0.7954767346382141, 0.03999950736761093, 0.039999570697546005]]"
right_foot:settle,3032,50.55,"[0.2799645662307739, 0.14694519340991974, 1.1760804653167725]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.2798856794834137, 0.1470804512500763, 1.1744462251663208]]","[[-0.0010525608668103814, 0.7070745825767517, 0.7071340084075928, -0.00243959273211658]]","[[0.6362001895904541, 0.7564463019371033, -0.6581071615219116, -1.2426602840423584, 0.4504116177558899, 1.8492990732192993, -0.7960141897201538, 0.0399995818734169, 0.03999964892864227]]"
left_wall:clear,3122,52.05,"[0.2798856794834137, 0.1470804512500763, 1.18]","[0.0, 0.7063343679653614, 0.7078783515767193, 0.0]",False,"[[0.27980831265449524, 0.1472269743680954, 1.1781418323516846]]","[[-0.001063243835233152, 0.7063161134719849, 0.707891583442688, -0.002449359744787216]]","[[0.6358642578125, 0.7540503144264221, -0.6594653129577637, -1.2369396686553955, 0.4489736258983612, 1.8416495323181152, -0.7967010736465454, 0.03999961540102959, 0.03999968245625496]]"
left_wall:hover,3359,56.0,"[-0.1693601906299591, -0.13362301886081696, 1.18]","[0.0, 0.7063343679653614, 0.7078783515767193, 0.0]",False,"[[-0.16618694365024567, -0.1313081681728363, 1.1795367002487183]]","[[-0.0009076823480427265, 0.7058505415916443, 0.70835942029953, -0.0011326995445415378]]","[[0.30825233459472656, -0.9700407981872559, -0.748066246509552, -2.8333818912506104, -0.6439128518104553, 1.9310249090194702, -0.7032420039176941, 0.03998623415827751, 0.03998623415827751]]"
left_wall:descend,3599,60.0,"[-0.1693601906299591, -0.13362301886081696, 0.9449999260902404]","[0.0, 0.7063343679653614, 0.7078783515767193, 0.0]",False,"[[-0.1701951026916504, -0.1339533030986786, 0.9488213658332825]]","[[-0.0010517985792830586, 0.7084248661994934, 0.7057855725288391, -9.005091669678222e-06]]","[[1.632227897644043, -0.225879967212677, -2.382370948791504, -2.8962643146514893, -1.0858826637268066, 2.966479778289795, -0.4648182988166809, 0.0399649553000927, 0.039966702461242676]]"
left_wall:open_settle,3623,60.4,"[-0.1701951026916504, -0.1339533030986786, 0.9488213658332825]","[0.0, 0.7063343679653614, 0.7078783515767193, 0.0]",False,"[[-0.17033852636814117, -0.13389021158218384, 0.948703408241272]]","[[-0.0008628320065326989, 0.7073235511779785, 0.7068893909454346, 0.0002178811264457181]]","[[1.6328667402267456, -0.22665688395500183, -2.3840458393096924, -2.895982027053833, -1.0901150703430176, 2.967085599899292, -0.46480607986450195, 0.03996371850371361, 0.03996529057621956]]"
left_wall:close,3683,61.4,"[-0.17033852636814117, -0.13389021158218384, 0.948703408241272]","[0.0, 0.7063343679653614, 0.7078783515767193, 0.0]",True,"[[-0.17040739953517914, -0.13381914794445038, 0.9486498832702637]]","[[-0.0004023727378807962, 0.7065569162368774, 0.707655668258667, 0.0008356700418516994]]","[[1.6322050094604492, -0.22791577875614166, -2.384840965270996, -2.8954262733459473, -1.096164584159851, 2.9681918621063232, -0.46253928542137146, 0.022835783660411835, 0.022853190079331398]]"
left_wall:lift,3919,65.33333333333333,"[-0.1693601906299591, -0.13362301886081696, 1.18]","[0.0, 0.7063343679653614, 0.7078783515767193, 0.0]",True,"[[-0.16952751576900482, -0.13353651762008667, 1.1761797666549683]]","[[-0.00017160343122668564, 0.7070791721343994, 0.7071340084075928, 0.0007160017848946154]]","[[0.2909329831600189, -0.9744447469711304, -0.7515321373939514, -2.8452494144439697, -0.6493131518363953, 1.9405796527862549, -0.7104327082633972, 0.022829439491033554, 0.022865604609251022]]"
left_wall:traverse,4163,69.39999999999999,"[0.28, -0.089, 1.18]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.27656522393226624, -0.08906228095293045, 1.1780949831008911]]","[[-0.0016978440107777715, 0.7072016596794128, 0.707008421421051, -0.0014294711872935295]]","[[0.43714186549186707, 0.765559196472168, -0.828305184841156, -1.3151103258132935, 0.5576478242874146, 1.840936303138733, -1.1814647912979126, 0.022829066962003708, 0.022866103798151016]]"
left_wall:lower,4313,71.89999999999999,"[0.2805317628383637, -0.08906640702486038, 0.964656096458435]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.28002431988716125, -0.08900196105241776, 0.9637406468391418]]","[[-0.0015922966413199902, 0.7071656584739685, 0.7070451378822327, -0.001202176557853818]]","[[0.3722423315048218, 1.0458861589431763, -0.6813715100288391, -1.376560091972351, 0.7184323668479919, 2.164762258529663, -1.256614327430725, 0.022828878834843636, 0.022866221144795418]]"
