phase,step,sim_time_s,commanded_hand_xyz_m,commanded_orientation_wxyz,gripper_closed,measured_hand_xyz_m,measured_orientation_wxyz,measured_joint_positions
right_lower:open_settle,11568,192.81666666666666,"[-0.024764517322182655, -0.13558891415596008, 0.9379072785377502]","[0.0, 0.6982632800165336, 0.7158410380667987, 0.0]",False,"[[-0.025073884055018425, -0.13554136455059052, 0.9374858736991882]]","[[-0.0010016266023740172, 0.6982826590538025, 0.7158201932907104, -0.0013821159955114126]]","[[0.33817124366760254, 0.4266480803489685, -0.5202592611312866, -2.5293691158294678, 0.7217963933944702, 2.8266313076019287, -1.6503175497055054, 0.039982568472623825, 0.03998340293765068]]"
right_lower:close,11628,193.81666666666666,"[-0.025073884055018425, -0.13554136455059052, 0.9374858736991882]","[0.0, 0.6982632800165336, 0.7158410380667987, 0.0]",True,"[[-0.02531523071229458, -0.13555073738098145, 0.9371378421783447]]","[[-0.0005676658474840224, 0.6981871724128723, 0.7159143686294556, -0.0010495497845113277]]","[[0.3368798494338989, 0.4274146854877472, -0.5183442234992981, -2.5295774936676025, 0.7258802056312561, 2.828632116317749, -1.6540579795837402, 0.026839938014745712, 0.026821114122867584]]"
right_lower:lift,11797,196.63333333333335,"[-0.02430768869817257, -0.13569793105125427, 1.18]","[0.0, 0.6982632800165336, 0.7158410380667987, 0.0]",True,"[[-0.02459496073424816, -0.13563112914562225, 1.176142930984497]]","[[-0.000932839815504849, 0.6975957155227661, 0.7164895534515381, -0.0014898563968017697]]","[[0.530849277973175, -0.38256531953811646, -0.8271960020065308, -2.4963154792785645, -0.34821298718452454, 2.1974904537200928, -0.8603505492210388, 0.026840655133128166, 0.026848481968045235]]"
right_lower:traverse,11983,199.73333333333335,"[0.28, 0.15, 1.18]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.2774922549724579, 0.14810572564601898, 1.1779224872589111]]","[[-0.001531910034827888, 0.7067874073982239, 0.7074173092842102, -0.0031654832419008017]]","[[0.5931730270385742, 0.721594512462616, -0.5786744952201843, -1.2545098066329956, 0.3850862383842468, 1.8605188131332397, -0.7670406699180603, 0.026840632781386375, 0.026848267763853073]]"
right_lower:lower,12133,202.23333333333335,"[0.28078442692756655, 0.15041790306568145, 0.9713541803359985]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.28019246459007263, 0.15028974413871765, 0.9702226519584656]]","[[-0.0012211308348923922, 0.7070537209510803, 0.7071532011032104, -0.002828721422702074]]","[[0.5529987812042236, 0.9882984757423401, -0.4805894196033478, -1.3328057527542114, 0.4954557418823242, 2.196131467819214, -0.8207933902740479, 0.026840679347515106, 0.026848210021853447]]"
right_lower:pre_release,12151,202.53333333333333,"[0.28019246459007263, 0.15028974413871765, 0.9702226519584656]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.27981945872306824, 0.15019477903842926, 0.9689254760742188]]","[[-0.0011166117619723082, 0.7070631980895996, 0.707144558429718, -0.002645498840138316]]","[[0.5531498193740845, 0.9892537593841553, -0.47994646430015564, -1.3347793817520142, 0.4963984787464142, 2.1993613243103027, -0.8215748071670532, 0.02684497833251953, 0.02682689018547535]]"
right_lower:release,12187,203.13333333333335,"[0.27981945872306824, 0.15019477903842926, 0.9689254760742188]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.2793167233467102, 0.15006797015666962, 0.9672293066978455]]","[[-0.0011563379084691405, 0.7071205377578735, 0.707087516784668, -0.0025444014463573694]]","[[0.553338885307312, 0.9905788898468018, -0.4791949391365051, -1.3371424674987793, 0.4977414906024933, 2.2029671669006348, -0.8225117921829224, 0.039326783269643784, 0.03932679072022438]]"
right_lower:retreat,12307,205.13333333333335,"[0.28078442692756655, 0.15041790306568145, 1.18]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.2806560695171356, 0.15053050220012665, 1.1762346029281616]]","[[-0.001088452059775591, 0.7070882320404053, 0.7071202993392944, -0.0024655484594404697]]","[[0.5875977277755737, 0.7366555333137512, -0.575524091720581, -1.2330931425094604, 0.3896457552909851, 1.8561345338821411, -0.76296466588974, 0.039999574422836304, 0.03999963775277138]]"
right_lower:settle,12343,205.73333333333335,"[0.2806560695171356, 0.15053050220012665, 1.1762346029281616]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.28057748079299927, 0.15065744519233704, 1.1745620965957642]]","[[-0.0011130935745313764, 0.7070705890655518, 0.7071377038955688, -0.0024826768785715103]]","[[0.5883350968360901, 0.7375240921974182, -0.5753317475318909, -1.2361420392990112, 0.3903769552707672, 1.8596962690353394, -0.7634537220001221, 0.0399995818734169, 0.039999645203351974]]"
left_upper:clear,12433,207.23333333333335,"[0.28057748079299927, 0.15065744519233704, 1.18]","[0.0, 0.7044385203849437, 0.7097650111113335, 0.0]",False,"[[0.28050026297569275, 0.15079480409622192, 1.1781041622161865]]","[[-0.001128866453655064, 0.7044665813446045, 0.709731936454773, -0.0024834158830344677]]","[[0.5875672698020935, 0.7350619435310364, -0.5756251811981201, -1.2306474447250366, 0.38856208324432373, 1.8524141311645508, -0.7692757844924927, 0.039999593049287796, 0.03999965637922287]]"
left_upper:hover,12613,210.23333333333335,"[-0.022114988416433334, 0.0011132522486150265, 1.18]","[0.0, 0.7044385203849437, 0.7097650111113335, 0.0]",False,"[[-0.019288919866085052, 0.0026902665849775076, 1.1793746948242188]]","[[-0.000787694938480854, 0.703969419002533, 0.710227906703949, -0.0016727992333471775]]","[[0.7144176959991455, -0.4082378149032593, -0.6933984160423279, -2.5427050590515137, -0.3189244568347931, 2.1931939125061035, -0.5403494834899902, 0.03998576104640961, 0.03998611867427826]]"
left_upper:descend,12778,212.98333333333335,"[-0.022114988416433334, 0.0011132522486150265, 0.9339999670982361]","[0.0, 0.7044385203849437, 0.7097650111113335, 0.0]",False,"[[-0.022572632879018784, 0.001124054891988635, 0.937861442565918]]","[[-0.00056409154785797, 0.7045886516571045, 0.7096130847930908, -0.0019714573863893747]]","[[0.5784921646118164, 0.37359488010406494, -0.4432993233203888, -2.59757137298584, 0.6511732339859009, 2.8827242851257324, -1.2657678127288818, 0.039978984743356705, 0.03997950628399849]]"
left_upper:open_settle,12802,213.38333333333335,"[-0.022572632879018784, 0.001124054891988635, 0.937861442565918]","[0.0, 0.7044385203849437, 0.7097650111113335, 0.0]",False,"[[-0.022874576970934868, 0.001084245159290731, 0.9374632239341736]]","[[-0.0005368568236008286, 0.7044198513031006, 0.7097817063331604, -0.0015654033049941063]]","[[0.5757202506065369, 0.37419894337654114, -0.43996337056159973, -2.597930908203125, 0.6546605229377747, 2.884664297103882, -1.269335150718689, 0.03997864946722984, 0.03997914865612984]]"
left_upper:close,12862,214.38333333333335,"[-0.022874576970934868, 0.001084245159290731, 0.9374632239341736]","[0.0, 0.7044385203849437, 0.7097650111113335, 0.0]",True,"[[-0.02309061959385872, 0.0010141902603209019, 0.9371313452720642]]","[[-0.00024315182236023247, 0.7043612003326416, 0.7098410129547119, -0.0011068874737247825]]","[[0.5741543173789978, 0.37503641843795776, -0.43769189715385437, -2.59808611869812, 0.6590406894683838, 2.8867573738098145, -1.2732130289077759, 0.02684636227786541, 0.02682020515203476]]"
left_upper:lift,13027,217.13333333333335,"[-0.022114988416433334, 0.0011132522486150265, 1.18]","[0.0, 0.7044385203849437, 0.7097650111113335, 0.0]",True,"[[-0.022418804466724396, 0.0011157492408528924, 1.1760598421096802]]","[[-0.0004559246590360999, 0.7037467956542969, 0.710448682308197, -0.001732207601889968]]","[[0.7175313830375671, -0.4169537425041199, -0.7025930285453796, -2.5559842586517334, -0.3316395580768585, 2.1998374462127686, -0.5353767275810242, 0.0268408190459013, 0.026849281042814255]]"
left_upper:traverse,13217,220.3,"[0.28, -0.15, 1.18]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.27720722556114197, -0.1484614759683609, 1.1779557466506958]]","[[-0.00239782826974988, 0.7069410085678101, 0.7072639465332031, -0.0025245165452361107]]","[[0.26699167490005493, 0.763886034488678, -0.7149143815040588, -1.2494765520095825, 0.48679178953170776, 1.8354142904281616, -1.2197394371032715, 0.02684098295867443, 0.026849621906876564]]"
left_upper:lower,13367,222.8,"[0.28082537531852725, -0.15016003847122192, 1.0153396368026733]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.2803587019443512, -0.15005601942539215, 1.014100193977356]]","[[-0.0021255656611174345, 0.7071214318275452, 0.7070859670639038, -0.002050861017778516]]","[[0.23631355166435242, 0.9579776525497437, -0.626054584980011, -1.339792251586914, 0.5896091461181641, 2.10489821434021, -1.2746073007583618, 0.026840848848223686, 0.026849830523133278]]"
left_upper:pre_release,13385,223.1,"[0.2803587019443512, -0.15005601942539215, 1.014100193977356]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.2800687849521637, -0.15002265572547913, 1.0128852128982544]]","[[-0.0019158055074512959, 0.7071052193641663, 0.7071030139923096, -0.0019650706090033054]]","[[0.23659582436084747, 0.9588451981544495, -0.6254792809486389, -1.3417373895645142, 0.5905640721321106, 2.1079254150390625, -1.275457501411438, 0.0268490482121706, 0.026832258328795433]]"
left_upper:release,13421,223.70000000000002,"[0.2800687849521637, -0.15002265572547913, 1.0128852128982544]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.2796732485294342, -0.14993052184581757, 1.0112426280975342]]","[[-0.0019373337272554636, 0.7071244716644287, 0.7070840001106262, -0.0018738473299890757]]","[[0.236928328871727, 0.9601135849952698, -0.624731719493866, -1.3440439701080322, 0.5920048952102661, 2.1112046241760254, -1.2764835357666016, 0.039327025413513184, 0.03932702913880348]]"
left_upper:retreat,13541,225.70000000000002,"[0.28082537531852725, -0.15016003847122192, 1.18]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.28077346086502075, -0.1499972939491272, 1.1766997575759888]]","[[-0.001880246214568615, 0.7070929408073425, 0.7071158289909363, -0.0018223330844193697]]","[[0.25566843152046204, 0.7791545391082764, -0.7114483118057251, -1.225712537765503, 0.4929473400115967, 1.8291972875595093, -1.2189534902572632, 0.03999955207109451, 0.039999499917030334]]"
left_upper:settle,13577,226.3,"[0.28077346086502075, -0.1499972939491272, 1.1766997575759888]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.2807599902153015, -0.149841770529747, 1.1750762462615967]]","[[-0.001904859789647162, 0.7070804834365845, 0.7071282863616943, -0.0018247589468955994]]","[[0.2565292716026306, 0.7800986170768738, -0.7112196087837219, -1.2286375761032104, 0.4938272535800934, 1.832553744316101, -1.2195308208465576, 0.03999956324696541, 0.039999522268772125]]"
right_upper:clear,13667,227.8,"[0.2807599902153015, -0.149841770529747, 1.18]","[0.0, 0.7135274149680726, 0.7006273104075946, 0.0]",False,"[[0.2807512581348419, -0.14967681467533112, 1.178169846534729]]","[[-0.0018949470249935985, 0.7133281826972961, 0.7008252739906311, -0.0018397191306576133]]","[[0.2578966021537781, 0.7791725397109985, -0.7154926061630249, -1.2236618995666504, 0.49498704075813293, 1.8255387544631958, -1.2014801502227783, 0.039999596774578094, 0.039999548345804214]]"
right_upper:hover,13854,230.91666666666669,"[-0.023869318887591362, 0.1343335211277008, 1.18]","[0.0, 0.7135274149680726, 0.7006273104075946, 0.0]",False,"[[-0.021161122247576714, 0.1315739005804062, 1.179352879524231]]","[[-0.0005893469206057489, 0.7130811810493469, 0.7010790109634399, -0.0018120052991434932]]","[[0.9627318382263184, -0.3231898546218872, -0.6448148488998413, -2.491659641265869, -0.2411070466041565, 2.212125778198242, -0.2783726453781128, 0.03998463228344917, 0.0399848036468029]]"
right_upper:descend,14004,233.41666666666669,"[-0.023869318887591362, 0.1343335211277008, 0.9339999670982361]","[0.0, 0.7135274149680726, 0.7006273104075946, 0.0]",False,"[[-0.02427370660007, 0.134160578250885, 0.9367300271987915]]","[[-6.739411037415266e-05, 0.7135125994682312, 0.7006399631500244, -0.001890270970761776]]","[[0.8163539171218872, 0.3957369327545166, -0.39447906613349915, -2.5441222190856934, 0.5720935463905334, 2.8664674758911133, -0.8729125261306763, 0.039982736110687256, 0.039982810616493225]]"
right_upper:open_settle,14028,233.81666666666666,"[-0.02427370660007, 0.134160578250885, 0.9367300271987915]","[0.0, 0.7135274149680726, 0.7006273104075946, 0.0]",False,"[[-0.024574168026447296, 0.13402602076530457, 0.9362714886665344]]","[[-0.00012840720592066646, 0.7134556770324707, 0.7006984949111938, -0.0016505807870998979]]","[[0.8142899870872498, 0.39651963114738464, -0.39190956950187683, -2.5446057319641113, 0.5747735500335693, 2.8683459758758545, -0.8754170536994934, 0.03998284786939621, 0.03998301550745964]]"
right_upper:close,14088,234.81666666666666,"[-0.024574168026447296, 0.13402602076530457, 0.9362714886665344]","[0.0, 0.7135274149680726, 0.7006273104075946, 0.0]",True,"[[-0.02476527914404869, 0.13388659060001373, 0.9358953237533569]]","[[6.292267789831385e-05, 0.7134631276130676, 0.7006918787956238, -0.0011665404308587313]]","[[0.8131580352783203, 0.3974699378013611, -0.3901430070400238, -2.5448930263519287, 0.5785154104232788, 2.870612382888794, -0.8785443305969238, 0.026852594688534737, 0.026818769052624702]]"
right_upper:lift,14238,237.31666666666666,"[-0.023869318887591362, 0.1343335211277008, 1.18]","[0.0, 0.7135274149680726, 0.7006273104075946, 0.0]",True,"[[-0.024108486250042915, 0.1341833770275116, 1.1769837141036987]]","[[5.451979814097285e-05, 0.7131625413894653, 0.7009967565536499, -0.00170209351927042]]","[[0.975636899471283, -0.3279035985469818, -0.6511381268501282, -2.500936508178711, -0.2491757571697235, 2.218411922454834, -0.26456567645072937, 0.026840785518288612, 0.026850223541259766]]"
right_upper:traverse,14418,240.31666666666666,"[0.28, 0.15, 1.18]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.27731019258499146, 0.15006302297115326, 1.1779671907424927]]","[[-0.0012411396019160748, 0.7068535089492798, 0.707351803779602, -0.003175587859004736]]","[[0.623631477355957, 0.7358197569847107, -0.624819278717041, -1.2510911226272583, 0.4190445840358734, 1.8523151874542236, -0.7793380618095398, 0.02684147283434868, 0.026849348098039627]]"
right_upper:lower,14568,242.81666666666666,"[0.28074058771133426, 0.1497250735759735, 1.0141297817230224]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.2802516222000122, 0.1496640294790268, 1.0128568410873413]]","[[-0.0011750123230740428, 0.7070558667182922, 0.7071512341499329, -0.002797602443024516]]","[[0.5957270264625549, 0.9304739832878113, -0.5460811853408813, -1.3465697765350342, 0.5125685334205627, 2.1301286220550537, -0.831013023853302, 0.026841534301638603, 0.02684932015836239]]"
right_upper:pre_release,14586,243.11666666666667,"[0.2802516222000122, 0.1496640294790268, 1.0128568410873413]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.2799643576145172, 0.1496071070432663, 1.0116345882415771]]","[[-0.0010382840409874916, 0.7070657014846802, 0.7071424126625061, -0.002571455202996731]]","[[0.5959838628768921, 0.9313163757324219, -0.5455381870269775, -1.3485738039016724, 0.5135506987571716, 2.1333155632019043, -0.8317590355873108, 0.02685399539768696, 0.02683301642537117]]"
right_upper:release,14622,243.71666666666667,"[0.2799643576145172, 0.1496071070432663, 1.0116345882415771]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.27955228090286255, 0.14953072369098663, 1.0099647045135498]]","[[-0.0010921683860942721, 0.7071112394332886, 0.7070971131324768, -0.002514044288545847]]","[[0.5962675213813782, 0.932587742805481, -0.5448616147041321, -1.3509409427642822, 0.5148656368255615, 2.136715888977051, -0.8326292037963867, 0.03932728245854378, 0.03932730108499527]]"
right_upper:retreat,14742,245.71666666666667,"[0.28074058771133426, 0.1497250735759735, 1.18]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.2806242108345032, 0.14984868466854095, 1.1766546964645386]]","[[-0.0010596750071272254, 0.707084596157074, 0.7071239948272705, -0.0024544675834476948]]","[[0.6149258613586426, 0.7491505742073059, -0.6222454309463501, -1.2315545082092285, 0.42399540543556213, 1.8476911783218384, -0.7791867852210999, 0.039999593049287796, 0.03999966010451317]]"
right_upper:settle,14778,246.31666666666666,"[0.2806242108345032, 0.14984868466854095, 1.1766546964645386]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.28054696321487427, 0.14998051524162292, 1.174999475479126]]","[[-0.0010807361686602235, 0.7070719003677368, 0.7071365118026733, -0.0024683205410838127]]","[[0.6157114505767822, 0.7500398755073547, -0.6220431923866272, -1.2345675230026245, 0.4247779846191406, 1.8511937856674194, -0.7796972393989563, 0.03999960049986839, 0.039999667555093765]]"
left_cornice:clear,14868,247.81666666666666,"[0.28054696321487427, 0.14998051524162292, 1.18]","[0.0, 0.7104551846524748, 0.7037424462119775, 0.0]",False,"[[0.2804704010486603, 0.15012267231941223, 1.1781344413757324]]","[[-0.0010746985208243132, 0.7103278636932373, 0.7038658857345581, -0.002475220710039139]]","[[0.6165226697921753, 0.7485647797584534, -0.6248984336853027, -1.2296257019042969, 0.424976110458374, 1.8443608283996582, -0.7698495388031006, 0.03999961167573929, 0.03999968245625496]]"
left_cornice:hover,15048,250.81666666666666,"[-0.023671070113778114, 0.27015212178230286, 1.18]","[0.0, 0.7104551846524748, 0.7037424462119775, 0.0]",False,"[[-0.02266295999288559, 0.26893746852874756, 1.1793088912963867]]","[[0.00012511339446064085, 0.7106782793998718, 0.703515350818634, -0.0016251179622486234]]","[[1.2282463312149048, -0.11184361577033997, -0.6469977498054504, -2.31425404548645, -0.085662841796875, 2.2199625968933105, -0.13892872631549835, 0.039992108941078186, 0.03999215364456177]]"
left_cornice:descend,15378,256.31666666666666,"[-0.023671070113778114, 0.27015212178230286, 0.905999921798706]","[0.0, 0.7104551846524748, 0.7037424462119775, 0.0]",False,"[[-0.021480295807123184, 0.27094191312789917, 0.9125784039497375]]","[[-0.005230526439845562, 0.6871086359024048, 0.7265064716339111, 0.0065529681742191315]]","[[1.0096662044525146, 0.5633087158203125, -0.3458222448825836, -2.319638252258301, 0.6279709339141846, 2.8077785968780518, -0.7260985970497131, 0.03927244991064072, 0.04219856485724449]]"
left_cornice:open_settle,15402,256.7166666666667,"[-0.021480295807123184, 0.27094191312789917, 0.9125784039497375]","[0.0, 0.7104551846524748, 0.7037424462119775, 0.0]",False,"[[-0.02183529920876026, 0.2713874280452728, 0.912575900554657]]","[[-0.0018126309150829911, 0.6926513314247131, 0.7212663888931274, 0.0023845473770052195]]","[[1.0334417819976807, 0.5678316950798035, -0.3676712214946747, -2.3183183670043945, 0.6263446807861328, 2.7983927726745605, -0.7036283016204834, 0.04017620161175728, 0.04122518002986908]]"
left_cornice:close,15462,257.7166666666667,"[-0.02183529920876026, 0.2713874280452728, 0.912575900554657]","[0.0, 0.7104551846524748, 0.7037424462119775, 0.0]",True,"[[-0.02206169068813324, 0.27155011892318726, 0.9125588536262512]]","[[-0.0003231982991565019, 0.6951560378074646, 0.718858540058136, 0.0006837801774963737]]","[[1.0640567541122437, 0.5749304890632629, -0.394609659910202, -2.31533145904541, 0.6504375338554382, 2.7878165245056152, -0.7107213139533997, 0.04022923484444618, 0.04105634242296219]]"
left_cornice:lift,15612,260.2166666666667,"[-0.023671070113778114, 0.27015212178230286, 1.18]","[0.0, 0.7104551846524748, 0.7037424462119775, 0.0]",True,"[[-0.0231106448918581, 0.26889467239379883, 1.1780927181243896]]","[[0.001062421128153801, 0.711402177810669, 0.7027825117111206, -0.0016482215141877532]]","[[1.371704339981079, -0.12587682902812958, -0.7872858643531799, -2.3166539669036865, -0.11543390899896622, 2.221511125564575, -0.11443872004747391, 0.030824003741145134, 0.030815578997135162]]"
left_cornice:traverse,15817,263.6333333333333,"[0.28, -0.15, 1.18]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.27796539664268494, -0.14725220203399658, 1.1781444549560547]]","[[-0.0017016169149428606, 0.7073100805282593, 0.7068952322006226, -0.002947791013866663]]","[[0.31202417612075806, 0.7962629199028015, -0.7950783371925354, -1.24167799949646, 0.5500423312187195, 1.815860629081726, -1.243288278579712, 0.030821485444903374, 0.030824553221464157]]"
left_cornice:lower,15967,266.1333333333333,"[0.2807089376449585, -0.14843239784240722, 1.0348735847473145]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.2803264856338501, -0.14834733307361603, 1.0336921215057373]]","[[-0.0017509052995592356, 0.7069674134254456, 0.7072399854660034, -0.002391217974945903]]","[[0.29079633951187134, 0.9579087495803833, -0.7116668224334717, -1.3381417989730835, 0.6459861993789673, 2.055569887161255, -1.2969000339508057, 0.030821073800325394, 0.030826052650809288]]"
left_cornice:pre_release,15985,266.43333333333334,"[0.2803264856338501, -0.14834733307361603, 1.0336921215057373]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.28006115555763245, -0.1482955813407898, 1.0324419736862183]]","[[-0.0016771921655163169, 0.7069571018218994, 0.707250714302063, -0.0023331311531364918]]","[[0.29102709889411926, 0.9587791562080383, -0.7109110951423645, -1.34001624584198, 0.6468892097473145, 2.058286666870117, -1.2976813316345215, 0.030799955129623413, 0.030791280791163445]]"
left_cornice:release,16021,267.03333333333336,"[0.28006115555763245, -0.1482955813407898, 1.0324419736862183]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.27971941232681274, -0.1481982320547104, 1.0308345556259155]]","[[-0.0018193903379142284, 0.7070872187614441, 0.7071213126182556, -0.0019530074205249548]]","[[0.29126212000846863, 0.9599036574363708, -0.7099342942237854, -1.342333436012268, 0.648842990398407, 2.061418294906616, -1.298669695854187, 0.03953150659799576, 0.039531510323286057]]"
left_cornice:retreat,16141,269.03333333333336,"[0.2807089376449585, -0.14843239784240722, 1.18]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.28066667914390564, -0.14826753735542297, 1.1769182682037354]]","[[-0.0018138550221920013, 0.7070971727371216, 0.7071118354797363, -0.0018131323158740997]]","[[0.30240705609321594, 0.807368814945221, -0.7915045022964478, -1.2240941524505615, 0.5560262203216553, 1.8112274408340454, -1.243499994277954, 0.039999522268772125, 0.039999477565288544]]"
left_cornice:settle,16177,269.6333333333333,"[0.28066667914390564, -0.14826753735542297, 1.1769182682037354]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.2806570529937744, -0.14811058342456818, 1.1753273010253906]]","[[-0.00183585612103343, 0.707086980342865, 0.7071220278739929, -0.0018140507163479924]]","[[0.3033217787742615, 0.8083714246749878, -0.7912522554397583, -1.2269259691238403, 0.5569899678230286, 1.8144389390945435, -1.2441238164901733, 0.03999952971935272, 0.03999949246644974]]"
right_cornice:clear,16267,271.1333333333333,"[0.2806570529937744, -0.14811058342456818, 1.18]","[0.0, 0.6993913179301302, 0.7147389624219149, 0.0]",False,"[[0.28065165877342224, -0.1479441523551941, 1.1782084703445435]]","[[-0.0018602525815367699, 0.6995723843574524, 0.7145571708679199, -0.0017961401026695967]]","[[0.3015501797199249, 0.8053739070892334, -0.7898441553115845, -1.222634196281433, 0.5535443425178528, 1.8093100786209106, -1.263034462928772, 0.03999956697225571, 0.03999951481819153]]"
right_cornice:hover,16461,274.3666666666667,"[-0.02508498728275299, 0.40733692049980164, 1.18]","[0.0, 0.6993913179301302, 0.7147389624219149, 0.0]",False,"[[-0.02382676489651203, 0.4039834439754486, 1.1790083646774292]]","[[0.0002404257538728416, 0.6976242065429688, 0.7164598703384399, -0.0024174253921955824]]","[[1.5193634033203125, 0.20613835752010345, -0.7834886908531189, -2.0147106647491455, 0.17260143160820007, 2.150053024291992, -0.16130690276622772, 0.03999917209148407, 0.03999990224838257]]"
right_cornice:descend,16791,279.8666666666667,"[-0.02508498728275299, 0.40733692049980164, 0.905999921798706]","[0.0, 0.6993913179301302, 0.7147389624219149, 0.0]",False,"[[-0.023617494851350784, 0.40879881381988525, 0.9125429391860962]]","[[-0.0015917853452265263, 0.6776041388511658, 0.7354212999343872, 0.0023943784181028605]]","[[1.2530865669250488, 0.7337958812713623, -0.44353774189949036, -2.0152993202209473, 0.6209209561347961, 2.619720935821533, -0.5068321228027344, 0.03896578028798103, 0.04133269190788269]]"
right_cornice:open_settle,16815,280.26666666666665,"[-0.023617494851350784, 0.40879881381988525, 0.9125429391860962]","[0.0, 0.6993913179301302, 0.7147389624219149, 0.0]",False,"[[-0.023857740685343742, 0.40900057554244995, 0.9125704765319824]]","[[-0.0010692941723391414, 0.6770432591438293, 0.7359411120414734, 0.0014307922683656216]]","[[1.266749620437622, 0.7382699847221375, -0.45685672760009766, -2.0135586261749268, 0.6335959434509277, 2.6128292083740234, -0.5149854421615601, 0.040117908269166946, 0.04091446474194527]]"
right_cornice:close,16875,281.26666666666665,"[-0.023857740685343742, 0.40900057554244995, 0.9125704765319824]","[0.0, 0.6993913179301302, 0.7147389624219149, 0.0]",True,"[[-0.023964274674654007, 0.4090796411037445, 0.9125698804855347]]","[[-0.000827967538498342, 0.6769779324531555, 0.7360019683837891, 0.0011789618292823434]]","[[1.297796607017517, 0.7497904896736145, -0.4876876175403595, -2.009662389755249, 0.670666515827179, 2.599472761154175, -0.5374191403388977, 0.04020947217941284, 0.04081296548247337]]"
right_cornice:lift,17025,283.76666666666665,"[-0.02508498728275299, 0.40733692049980164, 1.18]","[0.0, 0.6993913179301302, 0.7147389624219149, 0.0]",True,"[[-0.02547523006796837, 0.4076574444770813, 1.178175926208496]]","[[0.005159834399819374, 0.6979904770851135, 0.7160879373550415, -0.0008729958208277822]]","[[1.5954596996307373, 0.22845213115215302, -0.8588274121284485, -2.0113255977630615, 0.19410523772239685, 2.152086019515991, -0.16905155777931213, 0.030725529417395592, 0.03118966892361641]]"
right_cornice:traverse,17205,286.76666666666665,"[0.28, 0.15000000000000002, 1.18]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.27957022190093994, 0.1505691260099411, 1.1783980131149292]]","[[0.000870332820340991, 0.7069558501243591, 0.7072557210922241, -0.0014202954480424523]]","[[0.6980442404747009, 0.7904420495033264, -0.7615451216697693, -1.2313331365585327, 0.527827262878418, 1.8235926628112793, -0.8240206241607666, 0.030736234039068222, 0.031207283958792686]]"
right_cornice:lower,17355,289.26666666666665,"[0.2800872910022736, 0.1522582858800888, 1.0346958436965943]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.2799076735973358, 0.15216372907161713, 1.0336328744888306]]","[[0.0008414462208747864, 0.7067859768867493, 0.7074251174926758, -0.0016624884447082877]]","[[0.6843761205673218, 0.9454995393753052, -0.6814291477203369, -1.3406989574432373, 0.6170899271965027, 2.070178747177124, -0.8738572001457214, 0.030735554173588753, 0.031207239255309105]]"
right_cornice:pre_release,17373,289.56666666666666,"[0.2799076735973358, 0.15216372907161713, 1.0336328744888306]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.27978259325027466, 0.15210352838039398, 1.032429575920105]]","[[0.000844912719912827, 0.7067789435386658, 0.7074323296546936, -0.0015655804891139269]]","[[0.6840323805809021, 0.946602463722229, -0.6803308725357056, -1.3417109251022339, 0.6177242994308472, 2.0725443363189697, -0.8743917346000671, 0.0307320524007082, 0.031225355342030525]]"
